variable,tipo
canal_comunicacion,categorica
cnt_aprobada,numerica
cnt_rechazada,numerica
cnt_reversada,numerica
cupo_actual,numerica
departamento,categorica
dias_operacion,numerica
dias_sin_transacciones,numerica
flag_caida_trx_50,numerica
flag_inactivo_30d,numerica
flag_inactivo_60d,numerica
flag_inactivo_90d,numerica
flag_sin_trx_mes,numerica
formato_punto,categorica
fuerza_comercial,categorica
municipio,categorica
numero_datafonos,numerica
rango_inactividad,categorica
red_cb,categorica
regimen,categorica
region,categorica
tasa_aprobada,numerica
tasa_rechazada,numerica
tasa_reversada,numerica
ticket_promedio_mes,numerica
tipo_persona,categorica
total_trx,numerica
total_trx_mes_anterior,numerica
trx_3m,numerica
trx_6m,numerica
trx_prom_3m,numerica
trx_prom_6m,numerica
valor_3m,numerica
valor_6m,numerica
valor_mes_anterior,numerica
valor_total,numerica
var_trx_mom,numerica
