dataset,threshold,tp,fp,tn,fn,precision,recall,f1,f2,balanced_accuracy,tasa_alerta,alertas,umbral_seleccionado_f2_valid
valid_calibrado,0.01,387,10670,24347,94,0.035000452202224835,0.8045738045738046,0.06708268330733229,0.14906401663970417,0.7499323316497832,0.31148233703307227,11057,0.05927866494280263
valid_calibrado,0.02,286,4669,30348,195,0.057719475277497476,0.5945945945945946,0.10522442972774099,0.207879052187818,0.7306296787120388,0.13958532875091553,4955,0.05927866494280263
valid_calibrado,0.03,237,2596,32421,244,0.08365690081186022,0.49272349272349275,0.14302957151478576,0.2491065797771705,0.7092940363923029,0.0798073130880613,2833,0.05927866494280263
valid_calibrado,0.05,180,1027,33990,301,0.1491300745650373,0.37422037422037424,0.2132701421800948,0.28744809964867457,0.6724458812016284,0.034001915600878924,1207,0.05927866494280263
valid_calibrado,0.05927866494280263,165,721,34296,316,0.18623024830699775,0.34303534303534305,0.24140453547915142,0.29359430604982206,0.6612226719460349,0.024959152628317088,886,0.05927866494280263
valid_calibrado,0.08,138,422,34595,343,0.24642857142857144,0.2869022869022869,0.26512968299711814,0.2777777777777778,0.6374254987642771,0.01577553664995211,560,0.05927866494280263
valid_calibrado,0.1,116,303,34714,365,0.27684964200477324,0.24116424116424118,0.2577777777777778,0.24754588134869826,0.6162556505818351,0.011803481886303454,419,0.05927866494280263
valid_calibrado,0.15,105,197,34820,376,0.347682119205298,0.2182952182952183,0.2681992337164751,0.2358490566037736,0.6063346897084796,0.008507521550509888,302,0.05927866494280263
valid_calibrado,0.2,95,151,34866,386,0.3861788617886179,0.19750519750519752,0.2613480055020633,0.21889400921658986,0.5965965031418954,0.006929967885514677,246,0.05927866494280263
valid_calibrado,0.3,77,99,34918,404,0.4375,0.1600831600831601,0.2343987823439878,0.18333333333333332,0.5786279809325758,0.0049580258042706635,176,0.05927866494280263
valid_calibrado,0.5,37,18,34999,444,0.6727272727272727,0.07692307692307693,0.13805970149253732,0.09348155634158666,0.5382045204417195,0.0015493830638345822,55,0.05927866494280263
test_calibrado,0.01,369,8968,25852,139,0.039520188497376034,0.7263779527559056,0.0749619095987811,0.16228340223414547,0.7344124111855346,0.2642946105072464,9337,0.05927866494280263
test_calibrado,0.02,296,3787,31033,212,0.0724957139358315,0.5826771653543307,0.12894794162491832,0.24202780049059688,0.7369589158190378,0.11557404891304347,4083,0.05927866494280263
test_calibrado,0.03,257,2091,32729,251,0.10945485519591142,0.5059055118110236,0.1799719887955182,0.29337899543379,0.7229269086912671,0.06646286231884058,2348,0.05927866494280263
test_calibrado,0.05,199,942,33878,309,0.17440841367221735,0.39173228346456695,0.24135839902971498,0.3135833595965963,0.6823394329442306,0.03229732789855073,1141,0.05927866494280263
test_calibrado,0.05927866494280263,184,720,34100,324,0.20353982300884957,0.36220472440944884,0.26062322946175637,0.3133514986376022,0.6707634765068496,0.025588768115942028,904,0.05927866494280263
test_calibrado,0.08,162,496,34324,346,0.24620060790273557,0.3188976377952756,0.27787307032590053,0.30111524163568776,0.6523264754168796,0.018625452898550724,658,0.05927866494280263
test_calibrado,0.1,157,389,34431,351,0.2875457875457875,0.3090551181102362,0.29791271347248577,0.30449961210240495,0.6489416888655719,0.01545516304347826,546,0.05927866494280263
test_calibrado,0.15,140,282,34538,368,0.33175355450236965,0.2755905511811024,0.3010752688172043,0.2852485737571312,0.6337458786922169,0.011945199275362318,422,0.05927866494280263
test_calibrado,0.2,122,211,34609,386,0.3663663663663664,0.24015748031496062,0.2901307966706302,0.25792811839323465,0.6170488722654642,0.009425951086956522,333,0.05927866494280263
test_calibrado,0.3,83,126,34694,425,0.39712918660287083,0.16338582677165353,0.2315202231520223,0.18518518518518517,0.5798836083886987,0.00591598731884058,209,0.05927866494280263
test_calibrado,0.5,38,26,34794,470,0.59375,0.07480314960629922,0.13286713286713286,0.09064885496183206,0.5370282261529485,0.0018115942028985507,64,0.05927866494280263
