dataset,tipo,k_o_pct,filas_seleccionadas,eventos_capturados,precision,recall,lift
valid_calibrado,top_k,50.0,50,35,0.7,0.07276507276507277,51.66029106029106
valid_calibrado,top_k,100.0,100,53,0.53,0.1101871101871102,39.11422037422037
valid_calibrado,top_k,250.0,250,95,0.38,0.19750519750519752,28.044158004158003
valid_calibrado,top_k,500.0,500,134,0.268,0.2785862785862786,19.778511434511437
valid_calibrado,top_k,1000.0,1000,169,0.169,0.35135135135135137,12.47227027027027
valid_calibrado,top_k,2000.0,2000,213,0.1065,0.44282744282744285,7.859744282744282
valid_calibrado,top_pct,0.005,177,77,0.4350282485875706,0.1600831600831601,32.10526563068936
valid_calibrado,top_pct,0.01,354,110,0.3107344632768362,0.2286902286902287,22.932332593349543
valid_calibrado,top_pct,0.02,709,153,0.2157968970380818,0.3180873180873181,15.925900729849953
valid_calibrado,top_pct,0.05,1774,203,0.11443066516347238,0.42203742203742206,8.445030669382417
valid_calibrado,top_pct,0.1,3549,256,0.07213299520991828,0.5322245322245323,5.323445039421371
test_calibrado,top_k,50.0,50,32,0.64,0.06299212598425197,44.507716535433076
test_calibrado,top_k,100.0,100,55,0.55,0.10826771653543307,38.2488188976378
test_calibrado,top_k,250.0,250,97,0.388,0.19094488188976377,26.9828031496063
test_calibrado,top_k,500.0,500,154,0.308,0.3031496062992126,21.419338582677167
test_calibrado,top_k,1000.0,1000,187,0.187,0.36811023622047245,13.00459842519685
test_calibrado,top_k,2000.0,2000,241,0.1205,0.4744094488188976,8.379968503937008
test_calibrado,top_pct,0.005,176,74,0.42045454545454547,0.14566929133858267,29.239799570508232
test_calibrado,top_pct,0.01,353,126,0.35694050991501414,0.24803149606299213,24.82282349267248
test_calibrado,top_pct,0.02,706,171,0.24220963172804533,0.33661417322834647,16.844058798599185
test_calibrado,top_pct,0.05,1766,233,0.1319365798414496,0.45866141732283466,9.175306087871519
test_calibrado,top_pct,0.1,3532,286,0.08097395243488109,0.562992125984252,5.631196440195826
