decil,n,prob_min,prob_max,prob_prom,eventos,tasa_real,dataset
"(-0.000887, 0.00159]",3550,0.00011336059821481765,0.0015946885848197195,0.001043188365474934,4,0.0011267605633802818,valid_calibrado
"(0.00159, 0.00266]",3550,0.001594694721696963,0.0026556863497885553,0.002126577165607543,12,0.0033802816901408453,valid_calibrado
"(0.00266, 0.00365]",3550,0.002655778464865488,0.003647437864945805,0.0031507455560258906,6,0.0016901408450704226,valid_calibrado
"(0.00365, 0.00469]",3549,0.0036477237704049827,0.0046881729873730705,0.0041589992767364125,11,0.0030994646379261764,valid_calibrado
"(0.00469, 0.00597]",3550,0.00468839725978689,0.005969928413875884,0.0053043242510178125,17,0.004788732394366197,valid_calibrado
"(0.00597, 0.00772]",3550,0.005969959824400811,0.007722479258221853,0.006779497819558287,14,0.003943661971830986,valid_calibrado
"(0.00772, 0.0104]",3549,0.00772384479087715,0.010353813253406337,0.00893304942224297,36,0.01014370245139476,valid_calibrado
"(0.0104, 0.015]",3550,0.010356476148137974,0.014978919768269924,0.01241993220428548,65,0.018309859154929577,valid_calibrado
"(0.015, 0.0255]",3550,0.014980661550143118,0.025509140707226433,0.01938762644220167,60,0.016901408450704224,valid_calibrado
"(0.0255, 0.89]",3550,0.025509930975317216,0.8900314837312189,0.07230714768115194,256,0.07211267605633803,valid_calibrado
"(-0.0008900000000000001, 0.0014]",3533,0.00011005343655357024,0.0014030269835799043,0.0009229292116535515,13,0.003679592414378715,test_calibrado
"(0.0014, 0.00225]",3533,0.0014032532518662864,0.00225209961839612,0.0018237913742792655,15,0.0042456835550523635,test_calibrado
"(0.00225, 0.00309]",3533,0.002252185671119948,0.003094047239104261,0.0026638049984802938,13,0.003679592414378715,test_calibrado
"(0.00309, 0.00402]",3532,0.003094218066051238,0.004021436628390037,0.0035506706926901593,16,0.004530011325028313,test_calibrado
"(0.00402, 0.00511]",3533,0.004021677184180451,0.005106067896935385,0.00455087508146365,20,0.005660911406736484,test_calibrado
"(0.00511, 0.00661]",3533,0.005106759293858838,0.006605953152308755,0.005813888051803034,17,0.004811774695726012,test_calibrado
"(0.00661, 0.00891]",3532,0.006607614349030454,0.008905963637837414,0.007659828845835962,37,0.010475651189127973,test_calibrado
"(0.00891, 0.0128]",3533,0.008906098713598222,0.012807148769927423,0.010627009181676462,38,0.01075573167279932,test_calibrado
"(0.0128, 0.0223]",3533,0.012809173843661809,0.022348192961226875,0.01672167174935018,61,0.01726577979054628,test_calibrado
"(0.0223, 0.841]",3533,0.022352266144719284,0.8411696016427426,0.0762039866724216,288,0.08151712425700537,test_calibrado
