feature,importance
dias_operacion,8.19447054444715
valor_total,7.505210138636616
municipio,7.490221909853793
cupo_actual,7.4155330635073495
ticket_promedio_mes,6.985820134617848
tasa_rechazada,4.816971174037623
rango_inactividad,4.529402934192777
departamento,4.01261102081899
var_trx_mom,3.967067597844102
valor_3m,3.576151463964417
dias_sin_transacciones,3.5647153154707314
cnt_reversada,3.0009338430871653
valor_6m,2.939449192573382
tasa_reversada,2.7750869703771412
regimen,2.7174436418632837
trx_prom_6m,2.6258411540899464
trx_6m,2.376072568454073
cnt_rechazada,2.3610972482225363
cnt_aprobada,2.305541910795012
valor_mes_anterior,2.2100816987305714
region,2.1271127540947146
tasa_aprobada,1.9807238881917661
trx_prom_3m,1.732266310970905
tipo_persona,1.3747510455439098
trx_3m,1.2220863453955615
total_trx_mes_anterior,1.2116945831676855
fuerza_comercial,1.0963529808140036
total_trx,1.0305629556665417
red_cb,0.955017839345307
canal_comunicacion,0.7510192082952603
formato_punto,0.5283819421830666
flag_caida_trx_50,0.43801703535514863
numero_datafonos,0.18228958539158163
flag_inactivo_30d,0.0
flag_inactivo_60d,0.0
flag_inactivo_90d,0.0
flag_sin_trx_mes,0.0
