fecha_scoring,codigo_punto,fecha_corte,nombre_punto,estado_actual,estado_actual_norm,segmento_operativo,departamento,municipio,red_cb,probabilidad_riesgo_90d,probabilidad_riesgo_90d_raw,nivel_modelo,nivel_riesgo_reglas,nivel_alerta_final,ranking_global,ranking_segmento,flag_top500_preventivo,flag_nuevo_top500_preventivo,perdida_esperada_modelo,saldo_expuesto,dias_sin_compensar,dias_sin_transacciones,consumo_cupo_punto,consumo_cupo_visual,score_riesgo_reglas,motivo_alerta,accion_recomendada,accion_final_produccion
2026-05-11,59113,2026-04-30,BARRIO LA LOMA SAN CRISTOBAL,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,BOLÍVAR,SAN CRISTÓBAL,REDEBAN,0.468670037502169,0.9863474596959145,Crítico,Crítico,Recuperación prioritaria,1,1,0,0,104017115.07140036,221941039.0,816.0,830.0,18.495086583333332,18.495086583333332,100.0,"816 días sin compensar | 830 días sin transacciones | consumo cupo 1850% | saldo expuesto $221,941,039 | mora operativa Mayor a 60 | aparece en castigados: Confidencial",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,42039,2026-04-30,BARRIO FLORIDABLANCA CENTRO FLORIDABLANCA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,SANTANDER,FLORIDABLANCA,REDEBAN,0.4825418963008376,0.9871326705083141,Crítico,Crítico,Recuperación prioritaria,2,2,0,0,74974866.21546663,155374832.3,1805.0,999.0,1.1761792738243264,1.1761792738243264,100.0,"1805 días sin compensar | 999 días sin transacciones | consumo cupo 118% | saldo expuesto $155,374,832 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,18189,2026-04-30,BARRIO EL BOSQUE II MEDELLÍN,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,ANTIOQUIA,MEDELLÍN,REDEBAN,0.5768550118189615,0.9914219380410504,Crítico,Crítico,Recuperación prioritaria,3,3,0,0,73486974.40410648,127392452.0,3258.0,999.0,0.9999407535321821,0.9999407535321821,100.0,"3258 días sin compensar | 999 días sin transacciones | consumo cupo 100% | saldo expuesto $127,392,452 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,17221,2026-04-30,BARRIO MONTE BLANCO I BOGOTA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CUNDINAMARCA,BOGOTÁ,REDEBAN,0.5563658460117895,0.9906211137667236,Crítico,Crítico,Recuperación prioritaria,4,4,0,0,54866652.66224634,98616140.9,1215.0,1210.0,4.930807045,4.930807045,100.0,"1215 días sin compensar | 1210 días sin transacciones | consumo cupo 493% | saldo expuesto $98,616,141 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,37322,2026-04-30,BARRIO DUCALES SOACHA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CUNDINAMARCA,SOACHA,REDEBAN,0.5780825666279292,0.9914679904976109,Crítico,Crítico,Recuperación prioritaria,5,5,0,0,47648850.45406999,82425683.12,1297.0,999.0,1.5264015392592594,1.5264015392592594,100.0,"1297 días sin compensar | 999 días sin transacciones | consumo cupo 153% | saldo expuesto $82,425,683 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,67766,2026-04-30,BARRIO CENTRO SAN ANDRES DE TUMACO 5,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,NARIÑO,SAN ANDRÉS DE TUMACO,REDEBAN,0.3558648324567887,0.9775804065127994,Crítico,Crítico,Recuperación prioritaria,6,6,0,0,46249887.18682192,129964759.0,832.0,887.0,8.664317266666666,8.664317266666666,100.0,"832 días sin compensar | 887 días sin transacciones | consumo cupo 866% | saldo expuesto $129,964,759 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,67114,2026-04-30,BARRIO CENTRO CIENAGA DE ORO 7,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CÓRDOBA,CIÉNAGA DE ORO,REDEBAN,0.5138031841364764,0.988739276971398,Crítico,Crítico,Recuperación prioritaria,7,7,0,0,44459699.34664934,86530603.0,270.0,487.0,5.768706866666666,5.768706866666666,100.0,"270 días sin compensar | 487 días sin transacciones | consumo cupo 577% | saldo expuesto $86,530,603 | mora operativa Mayor a 60 | aparece en castigados: Malas prácticas-Alianzas",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,19251,2026-04-30,BARRIO CENTRO XLIV - NEIVA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,HUILA,NEIVA,REDEBAN,0.5486524376955749,0.9903030658296735,Crítico,Crítico,Recuperación prioritaria,8,8,0,0,40751339.62518875,74275327.74,3457.0,999.0,0.9903377031999999,0.9903377031999999,100.0,"3457 días sin compensar | 999 días sin transacciones | consumo cupo 99% | saldo expuesto $74,275,328 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,77908,2026-04-30,BARRIO CENTRO SAN JOSÉ DEL FRAGUA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CAQUETÁ,SAN JOSÉ DEL FRAGUA,REDEBAN,0.31342258079048707,0.9725944213200167,Crítico,Crítico,Recuperación prioritaria,9,9,0,0,34802267.22748528,111039438.0,144.0,145.0,11.1039438,11.1039438,100.0,"144 días sin compensar | 145 días sin transacciones | consumo cupo 1110% | saldo expuesto $111,039,438 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,43586,2026-04-30,BARRIO VICTORIA TULUA 3,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,VALLE DEL CAUCA,TULUÁ,REDEBAN,0.4103707772345721,0.9824391029268199,Crítico,Crítico,Recuperación prioritaria,10,10,0,0,33404181.26689417,81400000.0,1214.0,999.0,5.426666666666667,5.426666666666667,100.0,"1214 días sin compensar | 999 días sin transacciones | consumo cupo 543% | saldo expuesto $81,400,000 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,43192,2026-04-30,BARRIO CENTRO PUERTO GAITAN META PUERTO GAITAN,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,META,PUERTO GAITÁN,REDEBAN,0.5159585066151984,0.9888424913324902,Crítico,Crítico,Recuperación prioritaria,11,11,0,0,30944975.184993688,59975705.0,593.0,587.0,0.9995950833333334,0.9995950833333334,100.0,"593 días sin compensar | 587 días sin transacciones | consumo cupo 100% | saldo expuesto $59,975,705 | mora operativa Mayor a 60 | aparece en castigados: Confidencial",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,39422,2026-04-30,BARRIO LA UNION CALI 1,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,VALLE DEL CAUCA,CALI,REDEBAN,0.5448250009776049,0.9901416865945575,Crítico,Crítico,Recuperación prioritaria,12,12,0,0,29420120.125934143,53999210.89,1802.0,999.0,0.9999853868518519,0.9999853868518519,100.0,"1802 días sin compensar | 999 días sin transacciones | consumo cupo 100% | saldo expuesto $53,999,211 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,37410,2026-04-30,BARRIO LUIS CARLOS GALAN NEIVA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,HUILA,NEIVA,REDEBAN,0.5440307385372857,0.9901078947402068,Crítico,Crítico,Recuperación prioritaria,13,13,0,0,29360970.280106418,53969322.32,1131.0,1199.0,1.1993182737777779,1.1993182737777779,100.0,"1131 días sin compensar | 1199 días sin transacciones | consumo cupo 120% | saldo expuesto $53,969,322 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,77833,2026-04-30,BARRIO LA CAMILA BELLO BELLO,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,ANTIOQUIA,BELLO,WOMPI,0.3664946815304928,0.9786446929608131,Crítico,Crítico,Recuperación prioritaria,14,14,0,0,29297113.529387146,79938714.0,110.0,95.0,11.419816285714285,11.419816285714285,100.0,"110 días sin compensar | 95 días sin transacciones | consumo cupo 1142% | saldo expuesto $79,938,714 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,31324,2026-04-30,BARRIO LA UNIVERSIDAD 3,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,SANTANDER,BUCARAMANGA,REDEBAN,0.6016088794108142,0.9923116674101414,Crítico,Crítico,Recuperación prioritaria,15,15,0,0,29062957.311406307,48308724.0,2326.0,999.0,0.9858923265306122,0.9858923265306122,100.0,"2326 días sin compensar | 999 días sin transacciones | consumo cupo 99% | saldo expuesto $48,308,724 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,35056,2026-04-30,BARRIO SAN FERNANDO BOGOTA 1,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CUNDINAMARCA,BOGOTÁ,REDEBAN,0.6310689943918739,0.9932727496265125,Crítico,Crítico,Recuperación prioritaria,16,16,0,0,28889520.06677426,45778703.0,668.0,999.0,1.0173045111111112,1.0173045111111112,100.0,"668 días sin compensar | 999 días sin transacciones | consumo cupo 102% | saldo expuesto $45,778,703 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,39263,2026-04-30,BARRIO SAN ISIDRO CARTAGENA DE INDIAS,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,BOLÍVAR,CARTAGENA DE INDIAS,REDEBAN,0.552916502615974,0.9904800552604779,Crítico,Crítico,Recuperación prioritaria,17,17,0,0,27861280.90057283,50389671.44,1115.0,1095.0,1.1997540819047618,1.1997540819047618,100.0,"1115 días sin compensar | 1095 días sin transacciones | consumo cupo 120% | saldo expuesto $50,389,671 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,38704,2026-04-30,BARRIO GRATAMIRA CUCUTA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,NORTE DE SANTANDER,CÚCUTA,REDEBAN,0.5877420461156714,0.9918231765332901,Crítico,Crítico,Recuperación prioritaria,18,18,0,0,27662706.985513493,47066067.79,1671.0,999.0,1.0459126175555555,1.0459126175555555,100.0,"1671 días sin compensar | 999 días sin transacciones | consumo cupo 105% | saldo expuesto $47,066,068 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,19052,2026-04-30,BARRIO LA CONCORDIA IV BUCARAMANGA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,SANTANDER,BUCARAMANGA,REDEBAN,0.6042991241072821,0.9924036418864574,Crítico,Crítico,Recuperación prioritaria,19,19,0,0,27462145.39688934,45444622.21,580.0,556.0,1.0098804935555556,1.0098804935555556,100.0,"580 días sin compensar | 556 días sin transacciones | consumo cupo 101% | saldo expuesto $45,444,622 | mora operativa Mayor a 60 | aparece en castigados: Inactividad",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
