fecha_scoring,codigo_punto,fecha_corte,nombre_punto,estado_actual,estado_actual_norm,segmento_operativo,departamento,municipio,red_cb,probabilidad_riesgo_90d,probabilidad_riesgo_90d_raw,nivel_modelo,nivel_riesgo_reglas,nivel_alerta_final,ranking_global,ranking_segmento,flag_top500_preventivo,flag_nuevo_top500_preventivo,perdida_esperada_modelo,saldo_expuesto,dias_sin_compensar,dias_sin_transacciones,consumo_cupo_punto,consumo_cupo_visual,score_riesgo_reglas,motivo_alerta,accion_recomendada,accion_final_produccion
2026-05-02,35409,2026-04-30,BARRIO CENTRO ITAGUI 2,ACTIVO,ACTIVO,PREVENTIVO,ANTIOQUIA,ITAGÜÍ,REDEBAN,0.5968899924089403,0.9921481767001796,Crítico,Medio,Crítico,61,1,1,0,21997410.783682827,36853375.1,16.0,32.0,0.9960371648648649,0.9960371648648649,55.0,"32 días sin transacciones | consumo cupo 100% | saldo expuesto $36,853,375",Monitoreo y recordatorio preventivo,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,49202,2026-04-30,BARRIO JUAN XXIII MONTERIA 2,ACTIVO,ACTIVO,PREVENTIVO,CÓRDOBA,MONTERÍA,WOMPI,0.626047988173018,0.9931158736656877,Crítico,Bajo,Crítico,193,2,1,0,16606921.84602211,26526595.66,24.0,24.0,0.9824665059259259,0.9824665059259259,35.0,"consumo cupo 98% | saldo expuesto $26,526,596",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,36513,2026-04-30,BARRIO CENTRO TRUJILLO 3,PROCESO DE CIERRE,PROCESO DE CIERRE,PREVENTIVO,VALLE DEL CAUCA,TRUJILLO,REDEBAN,0.5070205380312933,0.9884084180160578,Crítico,Crítico,Crítico,252,3,1,0,15198302.832819976,29975714.38,37.0,31.0,0.9991904793333333,0.9991904793333333,85.0,"37 días sin compensar | 31 días sin transacciones | consumo cupo 100% | saldo expuesto $29,975,714",Bloqueo/validación inmediata + gestión prioritaria,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,66824,2026-04-30,BARRIO VEREDA PROVINCIA SABANA DE TORRES,PROCESO DE CIERRE,PROCESO DE CIERRE,PREVENTIVO,SANTANDER,SABANA DE TORRES,REDEBAN,0.5019417364049193,0.988154492129044,Crítico,Medio,Crítico,409,4,1,0,12238795.666529244,24382901.0,25.0,59.0,0.6416552894736842,0.6416552894736842,55.0,"59 días sin transacciones | saldo expuesto $24,382,901 | mora operativa 31-60",Monitoreo y recordatorio preventivo,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,79133,2026-04-30,BARRIO HERNANDEZ SAN VICENTE DEL CAGUAN 2,ACTIVO,ACTIVO,PREVENTIVO,CAQUETÁ,SAN VICENTE DEL CAGUÁN,REDEBAN,0.09981316053390984,0.8851346569252414,Crítico,Bajo,Crítico,456,5,1,0,11538062.781498132,115596607.9,18.0,16.0,11.55966079,11.55966079,35.0,"consumo cupo 1156% | saldo expuesto $115,596,608",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,59154,2026-04-30,BARRIO MI RANCHITO BATEAS PUERTO GAITAN,ACTIVO,ACTIVO,PREVENTIVO,META,PUERTO GAITÁN,REDEBAN,0.6597218863564362,0.9941183006691221,Crítico,Crítico,Crítico,597,6,1,0,9851582.06787239,14932932.0,212.0,21.0,0.9955288,0.9955288,80.0,"212 días sin compensar | consumo cupo 100% | saldo expuesto $14,932,932",Bloqueo/validación inmediata + gestión prioritaria,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,14926,2026-04-30,BARRIO PORTAL DE JAMUNDÍ,ACTIVO,ACTIVO,PREVENTIVO,VALLE DEL CAUCA,JAMUNDÍ,REDEBAN,0.41727749184011126,0.9829614665601976,Crítico,Bajo,Crítico,640,7,1,0,9388656.73095645,22499791.9,18.0,16.0,0.999990751111111,0.999990751111111,35.0,"consumo cupo 100% | saldo expuesto $22,499,792",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,67736,2026-04-30,BARRIO CHAPINERO MANIZALES,ACTIVO,ACTIVO,PREVENTIVO,CALDAS,MANIZALES,REDEBAN,0.3459685627904888,0.9765293319285873,Crítico,Bajo,Crítico,764,8,1,0,8240183.405631027,23817723.03,4.0,4.0,0.529282734,0.529282734,10.0,"saldo expuesto $23,817,723",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,62398,2026-04-30,BARRIO CATATUMBO VILLAVICENCIO,ACTIVO,ACTIVO,PREVENTIVO,META,VILLAVICENCIO,REDEBAN,0.4863624544116565,0.9873406852723775,Crítico,Crítico,Crítico,860,9,1,0,7652392.812341195,15733930.0,17.0,41.0,3.596326857142857,3.596326857142857,80.0,"41 días sin transacciones | consumo cupo 360% | saldo expuesto $15,733,930 | mora operativa 31-60",Bloqueo/validación inmediata + gestión prioritaria,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,62918,2026-04-30,BARRIO CAMELLON DEL QUINDIO CARTAGO 1,ACTIVO,ACTIVO,PREVENTIVO,VALLE DEL CAUCA,CARTAGO,REDEBAN,0.4600243899558731,0.9858329657200203,Crítico,Medio,Crítico,1173,10,1,0,6469202.455758544,14062737.97,17.0,30.0,0.878921123125,0.878921123125,45.0,"30 días sin transacciones | consumo cupo 88% | saldo expuesto $14,062,738",Monitoreo y recordatorio preventivo,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
