variable,uso
categoria,excluir_por_fuga_id_fecha_texto_o_info_posterior
codigo_corresponsal,excluir_por_fuga_id_fecha_texto_o_info_posterior
codigo_dane,excluir_por_fuga_id_fecha_texto_o_info_posterior
codigo_punto,excluir_por_fuga_id_fecha_texto_o_info_posterior
dias_hasta_evento_riesgo,excluir_por_fuga_id_fecha_texto_o_info_posterior
dias_sin_transacciones_limpio,excluir_por_fuga_id_fecha_texto_o_info_posterior
estado_al_corte,excluir_por_fuga_id_fecha_texto_o_info_posterior
evento_riesgo_30d,excluir_por_fuga_id_fecha_texto_o_info_posterior
evento_riesgo_60d,excluir_por_fuga_id_fecha_texto_o_info_posterior
evento_riesgo_90d,excluir_por_fuga_id_fecha_texto_o_info_posterior
fecha_castigo,excluir_por_fuga_id_fecha_texto_o_info_posterior
fecha_cierre,excluir_por_fuga_id_fecha_texto_o_info_posterior
fecha_corte,excluir_por_fuga_id_fecha_texto_o_info_posterior
fecha_corte_original_base,excluir_por_fuga_id_fecha_texto_o_info_posterior
fecha_evento_riesgo,excluir_por_fuga_id_fecha_texto_o_info_posterior
fecha_implementacion,excluir_por_fuga_id_fecha_texto_o_info_posterior
fecha_primera_trx_mes,excluir_por_fuga_id_fecha_texto_o_info_posterior
fecha_snapshot_saldo_usada,excluir_por_fuga_id_fecha_texto_o_info_posterior
fecha_ultima_compensacion_hist,excluir_por_fuga_id_fecha_texto_o_info_posterior
fecha_ultima_trx_acum,excluir_por_fuga_id_fecha_texto_o_info_posterior
fecha_ultima_trx_mes,excluir_por_fuga_id_fecha_texto_o_info_posterior
flag_en_archivo_castigados,excluir_por_fuga_id_fecha_texto_o_info_posterior
fuente_base_historica,excluir_por_fuga_id_fecha_texto_o_info_posterior
monto_recuperado_castigo,excluir_por_fuga_id_fecha_texto_o_info_posterior
motivo_cierre_castigado,excluir_por_fuga_id_fecha_texto_o_info_posterior
nombre_punto,excluir_por_fuga_id_fecha_texto_o_info_posterior
pct_recuperado_castigo,excluir_por_fuga_id_fecha_texto_o_info_posterior
periodo,excluir_por_fuga_id_fecha_texto_o_info_posterior
saldo_castigado_pendiente,excluir_por_fuga_id_fecha_texto_o_info_posterior
score_riesgo_historico,excluir_por_fuga_id_fecha_texto_o_info_posterior
tipo_evento_riesgo,excluir_por_fuga_id_fecha_texto_o_info_posterior
valor_castigado_original,excluir_por_fuga_id_fecha_texto_o_info_posterior
ya_evento_riesgo_al_corte,excluir_por_fuga_id_fecha_texto_o_info_posterior
