variable,uso
canal_comunicacion,predictora_segura_modelo_v1
cnt_aprobada,predictora_segura_modelo_v1
cnt_rechazada,predictora_segura_modelo_v1
cnt_reversada,predictora_segura_modelo_v1
cupo_actual,predictora_segura_modelo_v1
departamento,predictora_segura_modelo_v1
dias_operacion,predictora_segura_modelo_v1
dias_sin_transacciones,predictora_segura_modelo_v1
flag_caida_trx_50,predictora_segura_modelo_v1
flag_inactivo_30d,predictora_segura_modelo_v1
flag_inactivo_60d,predictora_segura_modelo_v1
flag_inactivo_90d,predictora_segura_modelo_v1
flag_sin_trx_mes,predictora_segura_modelo_v1
formato_punto,predictora_segura_modelo_v1
fuerza_comercial,predictora_segura_modelo_v1
municipio,predictora_segura_modelo_v1
numero_datafonos,predictora_segura_modelo_v1
rango_inactividad,predictora_segura_modelo_v1
red_cb,predictora_segura_modelo_v1
regimen,predictora_segura_modelo_v1
region,predictora_segura_modelo_v1
tasa_aprobada,predictora_segura_modelo_v1
tasa_rechazada,predictora_segura_modelo_v1
tasa_reversada,predictora_segura_modelo_v1
ticket_promedio_mes,predictora_segura_modelo_v1
tipo_persona,predictora_segura_modelo_v1
total_trx,predictora_segura_modelo_v1
total_trx_mes_anterior,predictora_segura_modelo_v1
trx_3m,predictora_segura_modelo_v1
trx_6m,predictora_segura_modelo_v1
trx_prom_3m,predictora_segura_modelo_v1
trx_prom_6m,predictora_segura_modelo_v1
valor_3m,predictora_segura_modelo_v1
valor_6m,predictora_segura_modelo_v1
valor_mes_anterior,predictora_segura_modelo_v1
valor_total,predictora_segura_modelo_v1
var_trx_mom,predictora_segura_modelo_v1
